ID,Parameter_ID,Language_ID,Value,Source
semantic-body-703,semantic-field,wbv,body-part,Wajarri Dictionary
compound-704,word-formation,wbv,compound,Wajarri Dictionary
semantic-water-745,semantic-field,wbv,water/liquid,Wajarri Dictionary
reduplication-757,morphological-process,wbv,reduplication,Wajarri Dictionary
semantic-body-764,semantic-field,wbv,body-part,Wajarri Dictionary
semantic-person-765,semantic-field,wbv,person/human,Wajarri Dictionary
reduplication-771,morphological-process,wbv,reduplication,Wajarri Dictionary
compound-775,word-formation,wbv,compound,Wajarri Dictionary
reduplication-776,morphological-process,wbv,reduplication,Wajarri Dictionary
reduplication-783,morphological-process,wbv,reduplication,Wajarri Dictionary
reduplication-785,morphological-process,wbv,reduplication,Wajarri Dictionary
reduplication-786,morphological-process,wbv,reduplication,Wajarri Dictionary
semantic-person-824,semantic-field,wbv,person/human,Wajarri Dictionary
semantic-person-825,semantic-field,wbv,person/human,Wajarri Dictionary
semantic-person-826,semantic-field,wbv,person/human,Wajarri Dictionary
compound-828,word-formation,wbv,compound,Wajarri Dictionary
reduplication-830,morphological-process,wbv,reduplication,Wajarri Dictionary
semantic-water-835,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-body-842,semantic-field,wbv,body-part,Wajarri Dictionary
semantic-body-843,semantic-field,wbv,body-part,Wajarri Dictionary
semantic-person-864,semantic-field,wbv,person/human,Wajarri Dictionary
reduplication-868,morphological-process,wbv,reduplication,Wajarri Dictionary
semantic-body-869,semantic-field,wbv,body-part,Wajarri Dictionary
compound-876,word-formation,wbv,compound,Wajarri Dictionary
semantic-water-896,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-person-923,semantic-field,wbv,person/human,Wajarri Dictionary
semantic-person-936,semantic-field,wbv,person/human,Wajarri Dictionary
reduplication-942,morphological-process,wbv,reduplication,Wajarri Dictionary
semantic-water-942,semantic-field,wbv,water/liquid,Wajarri Dictionary
compound-943,word-formation,wbv,compound,Wajarri Dictionary
semantic-water-951,semantic-field,wbv,water/liquid,Wajarri Dictionary
reduplication-954,morphological-process,wbv,reduplication,Wajarri Dictionary
semantic-water-960,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-water-971,semantic-field,wbv,water/liquid,Wajarri Dictionary
reduplication-972,morphological-process,wbv,reduplication,Wajarri Dictionary
semantic-body-972,semantic-field,wbv,body-part,Wajarri Dictionary
semantic-water-972,semantic-field,wbv,water/liquid,Wajarri Dictionary
reduplication-973,morphological-process,wbv,reduplication,Wajarri Dictionary
semantic-body-973,semantic-field,wbv,body-part,Wajarri Dictionary
semantic-water-973,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-person-976,semantic-field,wbv,person/human,Wajarri Dictionary
semantic-person-1002,semantic-field,wbv,person/human,Wajarri Dictionary
semantic-person-1017,semantic-field,wbv,person/human,Wajarri Dictionary
semantic-person-1018,semantic-field,wbv,person/human,Wajarri Dictionary
semantic-body-1030,semantic-field,wbv,body-part,Wajarri Dictionary
reduplication-1037,morphological-process,wbv,reduplication,Wajarri Dictionary
semantic-person-1044,semantic-field,wbv,person/human,Wajarri Dictionary
semantic-person-1045,semantic-field,wbv,person/human,Wajarri Dictionary
semantic-person-1046,semantic-field,wbv,person/human,Wajarri Dictionary
semantic-person-1047,semantic-field,wbv,person/human,Wajarri Dictionary
semantic-water-1047,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-person-1048,semantic-field,wbv,person/human,Wajarri Dictionary
semantic-person-1049,semantic-field,wbv,person/human,Wajarri Dictionary
semantic-person-1050,semantic-field,wbv,person/human,Wajarri Dictionary
semantic-person-1051,semantic-field,wbv,person/human,Wajarri Dictionary
compound-1055,word-formation,wbv,compound,Wajarri Dictionary
semantic-water-1064,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-water-1072,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-person-1074,semantic-field,wbv,person/human,Wajarri Dictionary
semantic-water-1082,semantic-field,wbv,water/liquid,Wajarri Dictionary
