slug,name,family,macroarea,glottocode,iso639_3,austlang,lat,lon,coord_provenance,coord_approximate,tier,endangerment,grammar_profiled,grammar_feature_count,lexicon_state,word_count,deep_time_divergence_bp,classification_chain
many1257,Manyarring,Pama-Nyungan,Australia,many1257,,N203;N87,-12.462,134.82,glottolog,false,documented,unknown,false,,pointer_only,,,Pama-Nyungan > Yuulngu > Western-Inland Yolngu > Djinang
mara1385,Marra,Mangarrayi-Maran,Australia,mara1385,mec,N112,-14.7927,134.865,glottolog,false,documented,nearly extinct,true,156,pointer_only,,,Mangarrayi-Maran > Maran
mara1386,Maranunggu,Western Daly,Australia,mara1386,zmr,N13,-13.6754,130.12,glottolog,false,documented,nearly extinct,true,310,pointer_only,,,Western Daly > Maranunggu-Ame-Manda
mare1239,Mare-Ammu,Western Daly,Australia,mare1239,,N162,-13.8818,130.237,glottolog,false,documented,unknown,false,,pointer_only,,,Western Daly > Bringen > Marithielic > Marithiel
marg1251,Margu,Marrku-Wurrugu,Australia,marg1251,mhg,N45,-11.1823,132.587,glottolog,false,documented,extinct,false,,pointer_only,,,Marrku-Wurrugu
marg1253,Margany,Pama-Nyungan,Australia,marg1253,zmc,D42,-26.789,144.892,glottolog,false,comprehensive,extinct,true,217,open_resource,1,535.9,Pama-Nyungan > Greater Maric > Guwa-Maric > Maric > Southern Maric > Margany-Gunya
mari1417,Marimanindji,Western Daly,Australia,mari1417,zmm,N16,-14.1788,130.561,glottolog,false,documented,extinct,false,,pointer_only,,,Western Daly > Bringen
mari1419,Maringarr,Western Daly,Australia,mari1419,zmt,N102,-14.3819,130.25,glottolog,false,documented,nearly extinct,true,18,pointer_only,,,Western Daly > Bringen > Maringarr-Matige
mari1421,Maridjabin,Western Daly,Australia,mari1421,zmj,N161,-13.8754,129.844,glottolog,false,documented,nearly extinct,false,,pointer_only,,,Western Daly > Bringen > Marithielic
mari1422,Maridan,Western Daly,Australia,mari1422,zmd,N9,-14.0542,130.079,glottolog,false,documented,extinct,false,,pointer_only,,,Western Daly > Bringen > Marithielic
mari1423,Mariyedi,Western Daly,Australia,mari1423,zmy,N164,-13.7687,129.876,glottolog,false,documented,nearly extinct,false,,pointer_only,,,Western Daly > Bringen > Marithielic
mari1424,Marithiel,Western Daly,Australia,mari1424,mfr,N163;N7,-13.8818,130.237,glottolog,false,documented,nearly extinct,true,202,pointer_only,,,Western Daly > Bringen > Marithielic
marl1234,Marlu-papu-nganha,Pama-Nyungan,Australia,marl1234,,L54,-25.8148,135.941,glottolog,false,documented,unknown,false,,pointer_only,,,Pama-Nyungan > Karnic > Palku > Arabana-Wangganguru > Wangganguru
marr1240,Marritjabin,Western Daly,Australia,marr1240,,,-13.8818,130.237,glottolog,false,classified,unknown,false,,none,,,Western Daly > Bringen > Marithielic > Marithiel
marr1241,Marri Yedi,Western Daly,Australia,marr1241,,,-13.8818,130.237,glottolog,false,classified,unknown,false,,none,,,Western Daly > Bringen > Marithielic > Marithiel
marr1256,Marriammu,Western Daly,Australia,marr1256,xru,,-12.28,130.5,glottolog,false,classified,nearly extinct,false,,none,,,Western Daly > Bringen > Marithielic
marr1258,Marrakulu,Pama-Nyungan,Australia,marr1258,,N142,-12.7825,136.008,glottolog,false,documented,unknown,false,,pointer_only,,232.4,Pama-Nyungan > Yuulngu > Southern Yolngu > Southern-Eastern Yolngu > Dhuwal-Dhuwala > Western Dhuwal-Dhuwala > Dhuwal > Nuclear Dhuwal
marr1259,Marrangu,Pama-Nyungan,Australia,marr1259,,N116.Q,-12.7825,136.008,glottolog,false,documented,unknown,false,,pointer_only,,,Pama-Nyungan > Yuulngu > Southern Yolngu > Southern-Eastern Yolngu > Dhuwal-Dhuwala > Western Dhuwal-Dhuwala > Dhuwal > Nuclear Dhuwal
mart1254,Marti Ke,Western Daly,Australia,mart1254,zmg,,-14.0058,129.837,glottolog,false,classified,extinct,false,,none,,,Western Daly > Bringen > Maringarr-Matige
mart1255,Martuthunira,Pama-Nyungan,Australia,mart1255,vma,W35,-20.9294,116.607,glottolog,false,comprehensive,extinct,true,368,live,110,1618,Pama-Nyungan > South-West Pama-Nyungan > Pilbara > Ngayarda > Central Ngayarda
mart1256,Martu Wangka,Pama-Nyungan,Australia,mart1256,mpj,A100;A33;A51.1;A52;A56;A6;A86,-23.350911655789,123.66842240336,glottolog,false,comprehensive,shifting,true,4,open_resource,2,1626.9,Pama-Nyungan > Desert Nyungic > Wati > Martuwangkic > Warnman-Wangka
maun1240,Mawng,Iwaidjan Proper,Australia,maun1240,mph,N64,-11.66,133.376,glottolog,false,documented,threatened,true,366,pointer_only,,,Iwaidjan Proper
maya1280,Mayaguduna,Pama-Nyungan,Australia,maya1280,xmy,G24;G44;G45,-18.1147,140.337,glottolog,false,documented,extinct,false,,pointer_only,,1324.1,Pama-Nyungan > Paman > Mayabic
mayi1234,Mayi-Thakurti,Pama-Nyungan,Australia,mayi1234,xyt,G16;L49,-20,140.63,glottolog,false,documented,extinct,false,,pointer_only,,,Pama-Nyungan > Paman > Mayabic > Nuclear Mayabic > Maykulan
mayi1235,Mayi-Yapi,Pama-Nyungan,Australia,mayi1235,xyj,G20,-19.25,140.61,glottolog,false,documented,extinct,false,,pointer_only,,,Pama-Nyungan > Paman > Mayabic > Nuclear Mayabic > Maykulan
mayi1236,Mayi-Kulan,Pama-Nyungan,Australia,mayi1236,xyk,,-18.56,141.46,glottolog,false,documented,extinct,false,,open_resource,1,,Pama-Nyungan > Paman > Mayabic > Nuclear Mayabic > Maykulan
mayk1239,Maykulan,Pama-Nyungan,Australia,mayk1239,mnt,G25,-20.4352,140.481,glottolog,false,documented,extinct,true,175,pointer_only,,511.1,Pama-Nyungan > Paman > Mayabic > Nuclear Mayabic
mbab1239,Mbabaram,Pama-Nyungan,Australia,mbab1239,vmb,Y115;Y204,-17.41547,145.37661,glottolog,false,comprehensive,extinct,true,21,open_resource,2,2657.9,Pama-Nyungan > Paman > Finasleigh Pama
mbar1253,Rimanggudhinma,Pama-Nyungan,Australia,mbar1253,zmv,Y195,-14.529,143.789,glottolog,false,documented,extinct,false,,pointer_only,,,Pama-Nyungan > Paman > Lamalamic
mbar1254,Mbara-Yanga,Pama-Nyungan,Australia,mbar1254,mvl,G18;G21;G22,-19.29,142.475904,glottolog,false,documented,extinct,false,,pointer_only,,,Pama-Nyungan > Paman
mbar1261,Mbara (Australia),Pama-Nyungan,Australia,mbar1261,,,-19.29,142.475904,glottolog,false,classified,unknown,false,,none,,,Pama-Nyungan > Paman > Mbara-Yanga
mbiy1238,Mbiywom,Pama-Nyungan,Australia,mbiy1238,,Y41,-12.89620501,142.2710997,glottolog,false,documented,extinct,false,,pointer_only,,507.8,Pama-Nyungan > Paman > Northern Pama
meri1244,Meriam,Eastern Trans-Fly,Papunesia,meri1244,ulk,Y3,-9.59575,143.773,glottolog,false,documented,shifting,true,148,pointer_only,,,Eastern Trans-Fly > Binaturi > Kura
midd1357,Middle Clarence Bandjalang,Pama-Nyungan,Australia,midd1357,bdy,,-29.042737,152.780249,glottolog,false,documented,moribund,true,114,none,,,Pama-Nyungan > Southeastern Pama-Nyungan > New South Wales Pama-Nyungan > Greater Bandjalangic > Bandjalangic > Inland Bandjalang
midl1244,Midlaliri,Pama-Nyungan,Australia,midl1244,,L50,-28.705,135.449,glottolog,false,documented,unknown,false,,pointer_only,,,Pama-Nyungan > Karnic > Palku > Arabana-Wangganguru > Arabana
mija1241,Mijaranypa,Pama-Nyungan,Australia,mija1241,,A77,-22.7816,118.723,glottolog,false,documented,unknown,false,,pointer_only,,,Pama-Nyungan > South-West Pama-Nyungan > Pilbara > Ngayarda > Central Ngayarda > Panytyima-Yinhawangka > Panytyima
miki1244,Mikiri-nganha,Pama-Nyungan,Australia,miki1244,,L51,-25.8148,135.941,glottolog,false,documented,unknown,false,,pointer_only,,,Pama-Nyungan > Karnic > Palku > Arabana-Wangganguru > Wangganguru
mild1238,Mildjingi,Pama-Nyungan,Australia,mild1238,,N204,-12.462,134.82,glottolog,false,documented,unknown,false,,pointer_only,,,Pama-Nyungan > Yuulngu > Western-Inland Yolngu > Djinang
ming1253,Mingbari,Pama-Nyungan,Australia,ming1253,,,-28.136,143.929,glottolog,false,classified,unknown,false,,none,,,Pama-Nyungan > Karnic > Badjiri-Eastern Karnic > Eastern Karnic > Bulloo River
minj1242,Minjangbal,Pama-Nyungan,Australia,minj1242,,,-28.028726,153.286993,glottolog,false,documented,extinct,false,,none,,249.3,Pama-Nyungan > Southeastern Pama-Nyungan > New South Wales Pama-Nyungan > Greater Bandjalangic > Bandjalangic > Coastal Bandjalang > Tweed-Albert
mink1237,Minkin,(isolate),Australia,mink1237,xxm,G26,-17.736653,139.541931,glottolog,false,listed,extinct,false,,pointer_only,,926.8,
miri1266,Miriwung,Jarrakan,Australia,miri1266,mep,K29;K38,-16.3596,128.889,glottolog,false,documented,nearly extinct,true,175,pointer_only,,,Jarrakan > Miriwunic
mirn1245,Mirniny,Pama-Nyungan,Australia,mirn1245,gmr,A9,-31.29733,130.05272,glottolog,false,documented,nearly extinct,false,,pointer_only,,790.6,Pama-Nyungan > South-West Pama-Nyungan > Mirning > Kalarko-Mirniny
mith1236,Mithaka,Pama-Nyungan,Australia,mith1236,,L34,-25.13606725,139.598447,glottolog,false,documented,extinct,false,,pointer_only,,916.5,Pama-Nyungan > Karnic > Central Karnic > Mithaka-Karuwali
miwa1242,Miwa,Worrorran,Australia,miwa1242,vmi,K44;K46,-14.3484,126.921,glottolog,false,documented,extinct,true,150,pointer_only,,,Worrorran > Northern Worrorran > Forrest River
mpal1237,Mpalityanh-Luthigh,Pama-Nyungan,Australia,mpal1237,,,-12.16733589,142.4853284,glottolog,false,documented,extinct,false,,none,,1290.9,Pama-Nyungan > Paman > Northern Pama
mpal1238,Mpalitjanh,Pama-Nyungan,Australia,mpal1238,xpj,Y17;Y25,-12.16733589,142.4853284,glottolog,false,documented,extinct,false,,open_resource,2,,Pama-Nyungan > Paman > Northern Pama > Mpalityanh-Luthigh
mpar1238,Mparntwe Arrernte,Pama-Nyungan,Australia,mpar1238,,,-23.3583,135.046,glottolog,false,classified,unknown,false,,none,,,Pama-Nyungan > Arandic-Thura-Yura > Arandic > South Arandic > Upper Arrernte > Central-Eastern Arrernte > Eastern Arrernte
mudb1240,Mudburra,Pama-Nyungan,Australia,mudb1240,dmw,C21;C25;C33;C36,-16.7694,132.329,glottolog,false,comprehensive,nearly extinct,true,2,live,38,332.5,Pama-Nyungan > Desert Nyungic > Ngumpin-Yapa > Ngumpin > Eastern Ngumpin
mull1237,Mullukmulluk,Northern Daly,Australia,mull1237,mpb,N22,-13.427,130.664,glottolog,false,documented,nearly extinct,true,259,pointer_only,,,Northern Daly
mulu1243,Muluridyi,Pama-Nyungan,Australia,mulu1243,vmu,Y104;Y97,-17.0601,145.329,glottolog,false,documented,extinct,false,,pointer_only,,,Pama-Nyungan > Yimidhirr-Yalanji-Yidinic > Yalandyic
munu1238,Munumburru,Worrorran,Australia,munu1238,,,-14.700834,126.754387,glottolog,false,documented,unknown,true,103,none,,,Worrorran > Ngarinyin
muny1238,Munyuku,Pama-Nyungan,Australia,muny1238,,N139.1;N200,-12.2868,135.337,glottolog,false,documented,unknown,false,,pointer_only,,,Pama-Nyungan > Yuulngu > Southern Yolngu > Southern-Eastern Yolngu > Dhuwal-Dhuwala > Eastern Dhuwal-Dhuwala > Gupapuyngu
mura1269,Kuninjku,Gunwinyguan,Australia,mura1269,,,-12.3398,133.358,glottolog,false,classified,unknown,false,,none,,,Gunwinyguan > Bininj Kun-Wok
